context,module,cell_type,n_cells,mean_score
CRC,ERBB_RECEPTORS,malignant cell,26551,0.3177665475163694
CRC,ERBB_RECEPTORS,early colonocyte,6778,0.31923594707763275
CRC,ERBB_RECEPTORS,intestinal crypt stem cell of colon,2203,0.28372741441563265
CRC,ERBB_RECEPTORS,secretory cell,5457,0.3110557768383982
CRC,ERBB_RECEPTORS,colon goblet cell,1711,0.5346387499504658
CRC,ERBB_RECEPTORS,BEST4+ colonocyte,1363,0.4864389738635114
CRC,ERBB_RECEPTORS,colonocyte,2030,0.4266859403054409
CRC,ERBB_RECEPTORS,tuft cell of colon,828,0.3098357568004569
CRC,ERBB_RECEPTORS,enteroendocrine cell of colon,186,0.35711569595401005
CRC,ERBB_LIGANDS,malignant cell,26551,0.30319096089386804
CRC,ERBB_LIGANDS,early colonocyte,6778,0.09120824559451284
CRC,ERBB_LIGANDS,intestinal crypt stem cell of colon,2203,0.08544149796410387
CRC,ERBB_LIGANDS,secretory cell,5457,0.051104328990875525
CRC,ERBB_LIGANDS,colon goblet cell,1711,0.3948984107210544
CRC,ERBB_LIGANDS,BEST4+ colonocyte,1363,0.23314320766425098
CRC,ERBB_LIGANDS,colonocyte,2030,0.1888945436040903
CRC,ERBB_LIGANDS,tuft cell of colon,828,0.016250490755346663
CRC,ERBB_LIGANDS,enteroendocrine cell of colon,186,0.045314966470644036
CRC,VEGF_PDGF_AXIS,malignant cell,26551,0.15780642512190401
CRC,VEGF_PDGF_AXIS,early colonocyte,6778,0.08947380297171767
CRC,VEGF_PDGF_AXIS,intestinal crypt stem cell of colon,2203,0.09973868731319688
CRC,VEGF_PDGF_AXIS,secretory cell,5457,0.08320063949880559
CRC,VEGF_PDGF_AXIS,colon goblet cell,1711,0.17818283476806362
CRC,VEGF_PDGF_AXIS,BEST4+ colonocyte,1363,0.18363051818340734
CRC,VEGF_PDGF_AXIS,colonocyte,2030,0.10402205735903802
CRC,VEGF_PDGF_AXIS,tuft cell of colon,828,0.14502043277025223
CRC,VEGF_PDGF_AXIS,enteroendocrine cell of colon,186,0.16294613067982017
CRC,HGF_MET_AXIS,malignant cell,26551,0.18700787888138376
CRC,HGF_MET_AXIS,early colonocyte,6778,0.07492941116936687
CRC,HGF_MET_AXIS,intestinal crypt stem cell of colon,2203,0.05373389906149748
CRC,HGF_MET_AXIS,secretory cell,5457,0.0975144340671887
CRC,HGF_MET_AXIS,colon goblet cell,1711,0.19797106723185173
CRC,HGF_MET_AXIS,BEST4+ colonocyte,1363,0.09746336839103734
CRC,HGF_MET_AXIS,colonocyte,2030,0.10482274736897111
CRC,HGF_MET_AXIS,tuft cell of colon,828,0.026855616771800508
CRC,HGF_MET_AXIS,enteroendocrine cell of colon,186,0.0322566856379791
CRC,EPH_RECEPTORS,malignant cell,26551,0.23058067334220328
CRC,EPH_RECEPTORS,early colonocyte,6778,0.18250428612887262
CRC,EPH_RECEPTORS,intestinal crypt stem cell of colon,2203,0.23434177644405374
CRC,EPH_RECEPTORS,secretory cell,5457,0.1712725922261891
CRC,EPH_RECEPTORS,colon goblet cell,1711,0.06782774755231544
