"accession","n_genes","n_samples","input_max","integer_fraction","log2_applied","note"
"GSE13911",20843,69,16.3563092480494,0.001,FALSE,"already on a log scale; no transform"
"GSE27342",17525,160,15.4109587310494,0,FALSE,"already on a log scale; no transform"
"GSE63089",14023,90,12.77932,0,FALSE,"already on a log scale; no transform"
"GSE15471",20843,72,14.317401275,0,FALSE,"already on a log scale; no transform"
"GSE20347",12501,34,14.45130306,0,FALSE,"already on a log scale; no transform"
"GSE23400",12501,106,13.94460501,0,FALSE,"already on a log scale; no transform"
"GSE28735",18990,90,12.4669,0,FALSE,"already on a log scale; no transform"
"GSE33814",19405,44,14.81746254,0,FALSE,"already on a log scale; no transform"
"GSE47460",14516,236,17.9381,0,FALSE,"already on a log scale; no transform"
"GSE57957",20750,74,14.8912236010374,0,FALSE,"already on a log scale; no transform"
"GSE62232",20843,86,14.1345065390227,0.033,FALSE,"already on a log scale; no transform"
"GSE62452",19034,84,12.7342,0,FALSE,"already on a log scale; no transform"
"GSE66676",18990,65,3.295434,0.011,FALSE,"already on a log scale; no transform"
"GSE76925",16996,151,14.7222269234759,0,FALSE,"already on a log scale; no transform"
"GSE10072",12501,66,14.2626569,0,FALSE,"already on a log scale; no transform"
"GSE16879",20843,43,15.054565112904,0.004,FALSE,"already on a log scale; no transform"
"GSE179285",19526,53,7.16227917789625,0,FALSE,"already on a log scale; no transform"
"GSE19804",20843,120,14.7168,0,FALSE,"already on a log scale; no transform"
"GSE23878",20843,59,13.2002405,0,FALSE,"already on a log scale; no transform"
"GSE32863",19405,114,15.6832067133333,0,FALSE,"already on a log scale; no transform"
"GSE41258",12501,235,14.4318240280079,0.003,FALSE,"already on a log scale; no transform"
"GSE4302",20843,70,13.553511955,0,FALSE,"already on a log scale; no transform"
"GSE43696",19526,108,17.87577272,0,FALSE,"already on a log scale; no transform"
"GSE44076",19433,196,13.2312,0,FALSE,"already on a log scale; no transform"
"GSE67472",18396,105,12.86814243,0,FALSE,"already on a log scale; no transform"
"GSE75214",19034,97,13.71399244,0,FALSE,"already on a log scale; no transform"
"GSE87473",21113,127,13.0574,0,FALSE,"already on a log scale; no transform"
