"disease","feature","k","n_pos","n_neg","frac_majority","median_yi","I2","direction_consistent","concordance"
"Asthma","EPH_RECEPTORS",3,3,0,1,0.123908005154337,NA,TRUE,1
"Asthma","ERBB_LIGANDS",3,0,3,1,-0.284765298354767,NA,TRUE,1
"Asthma","ERBB_RECEPTORS",3,0,3,1,-0.532462361442008,NA,TRUE,1
"Asthma","FGFR_AXIS",3,1,2,0.666666666666667,-0.0467416983495345,NA,FALSE,0.666666666666667
"Asthma","HGF_MET_AXIS",3,0,3,1,-0.247922055557211,NA,TRUE,1
"Asthma","IGF_INSR_AXIS",3,0,3,1,-0.886272400309653,NA,TRUE,1
"Asthma","JAK_STAT",3,0,3,1,-0.148187191744216,NA,TRUE,1
"Asthma","PDGFR_KIT_CSF1R",3,3,0,1,0.249858607806994,NA,TRUE,1
"Asthma","PI3K_AKT",3,3,0,1,0.317013702784127,NA,TRUE,1
"Asthma","RAS_MAPK",3,3,0,1,0.28131217946197,NA,TRUE,1
"Asthma","RET_ALK_NTRK",3,1,2,0.666666666666667,-0.104661805487623,NA,FALSE,0.666666666666667
"Asthma","SRC_FAK",3,2,1,0.666666666666667,0.297847946468684,NA,FALSE,0.666666666666667
"Asthma","TAM_AXL_AXIS",3,3,0,1,0.239427799750179,NA,TRUE,1
"Asthma","TGFB_SMAD",3,1,2,0.666666666666667,-0.0566476774917916,NA,FALSE,0.666666666666667
"Asthma","TIE_ANGPT_AXIS",3,1,2,0.666666666666667,-0.291843565753894,NA,FALSE,0.666666666666667
"Asthma","VEGF_PDGF_AXIS",3,0,3,1,-0.361419603432676,NA,TRUE,1
"Asthma","WNT_CTNNB1",3,0,3,1,-0.54009757731806,NA,TRUE,1
"COPD","EPH_RECEPTORS",2,1,1,0.5,0.116362015428601,NA,FALSE,0.5
"COPD","ERBB_LIGANDS",2,0,2,1,-0.175009641575552,NA,TRUE,1
"COPD","ERBB_RECEPTORS",2,1,1,0.5,-0.212555377048982,NA,FALSE,0.5
"COPD","FGFR_AXIS",2,1,1,0.5,-0.211686687378853,NA,FALSE,0.5
"COPD","HGF_MET_AXIS",1,0,1,1,-0.742495016858115,NA,TRUE,1
"COPD","IGF_INSR_AXIS",2,1,1,0.5,-0.223119539129717,NA,FALSE,0.5
"COPD","JAK_STAT",2,2,0,1,0.300229989360937,NA,TRUE,1
"COPD","PDGFR_KIT_CSF1R",2,2,0,1,0.358188210378216,NA,TRUE,1
"COPD","PI3K_AKT",2,2,0,1,0.0877713437601765,NA,TRUE,1
"COPD","RAS_MAPK",2,0,2,1,-0.206031296580827,NA,TRUE,1
"COPD","RET_ALK_NTRK",2,2,0,1,0.677087856602226,NA,TRUE,1
"COPD","SRC_FAK",2,0,2,1,-0.276181442894916,NA,TRUE,1
