"module","members","overlap_xcell_genes","frac_overlap_xcell","compartment_scores_using_overlapping_genes","note"
"EPH_RECEPTORS",4,4,1,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
"ERBB_LIGANDS",6,5,0.833,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
"ERBB_RECEPTORS",4,4,1,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
"FGFR_AXIS",8,7,0.875,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
"HGF_MET_AXIS",3,3,1,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
"IGF_INSR_AXIS",4,3,0.75,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
"JAK_STAT",9,9,1,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
"PDGFR_KIT_CSF1R",5,5,1,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
"PI3K_AKT",9,8,0.889,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
"RAS_MAPK",12,12,1,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
"RET_ALK_NTRK",6,6,1,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
"SRC_FAK",5,5,1,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
"TAM_AXL_AXIS",3,3,1,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
"TGFB_SMAD",5,5,1,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
"TIE_ANGPT_AXIS",3,3,1,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
"VEGF_PDGF_AXIS",9,9,1,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
"WNT_CTNNB1",4,3,0.75,NA,"xCell derives all compartment scores from its 489-gene signature panel; overlap with module members creates a shared input between score and covariate"
