"accession","n","r2_overall","max_vif_predictor","vif_epi","vif_fib","vif_end","vif_imm"
"GSE32863",114,0.886514481780992,3.35,2.64,3.17,3.35,1.57
"GSE19804",120,0.669275297923058,3.19,2.87,3.19,3.16,2.36
"GSE10072",66,0.812763803697584,2.75,2.32,2.28,2.75,2.15
"GSE44076",196,0.31959938955064,2.56,2.56,2.33,1.38,1.33
"GSE41258",235,0.38199067834231,2.01,2.01,1.55,1.24,1.48
"GSE23878",59,0.596527988629114,1.65,1.65,1.16,1.22,1.54
"GSE75214",97,0.54167352918636,4.06,4.06,2.15,1.48,2.44
"GSE87473",127,0.412765534258994,4.53,4.53,1.47,1.78,3.93
"GSE179285",53,0.343731815508955,1.8,1.76,1.65,1.32,1.8
"GSE4302",70,0.105503989593801,1.9,1.61,1.34,1.19,1.9
"GSE43696",108,0.0712822074376865,2.22,2.12,1.11,1.02,2.22
"GSE67472",105,0.112081273852462,1.57,1.57,1.16,1.22,1.45
"GSE27342",160,0.0547051402176156,1.7,1.36,1.7,1.41,1.06
"GSE63089",90,0.14505606974711,2.77,2.77,2.58,2.07,1.12
"GSE13911",69,0.195114616251764,2.12,2.12,1.23,1.19,2.06
"GSE15471",72,0.328991218714103,3.14,3.14,1.59,2.36,2.62
"GSE28735",90,0.517721622912949,2.67,2.4,2.67,1.6,1.36
"GSE62452",84,0.533774665252629,2.58,2.16,2.58,1.66,1.35
"GSE57957",74,0.462902599918693,1.53,1.31,1.11,1.42,1.53
"GSE62232",86,0.246353162592437,1.29,1.26,1.11,1.11,1.29
"GSE23400",106,0.161290051801569,2.84,2.12,2.84,2,1.06
"GSE20347",34,0.531563828640928,1.66,1.66,1.1,1.32,1.3
"GSE76925",151,0.107444666823553,1.54,1.24,1.17,1.39,1.54
"GSE47460",236,0.127113936689344,2.06,1.62,1.48,1.88,2.06
"GSE33814",44,0.329040158060923,1.95,1.63,1.95,1.39,1.31
"GSE66676",65,0.0453585200022083,1.29,1.12,1.03,1.29,1.25
