"accession","module","n_genes","rho"
"GSE44076","EPH_RECEPTORS",4,0.972872522691232
"GSE44076","ERBB_LIGANDS",6,0.93316705049845
"GSE44076","ERBB_RECEPTORS",4,0.949667301516468
"GSE44076","FGFR_AXIS",8,0.957634533704149
"GSE44076","HGF_MET_AXIS",3,0.927713186016304
"GSE44076","IGF_INSR_AXIS",4,0.925614197260318
"GSE44076","JAK_STAT",9,0.943057957271155
"GSE44076","PDGFR_KIT_CSF1R",5,0.9597733665899
"GSE44076","PI3K_AKT",9,0.893872769724837
"GSE44076","RAS_MAPK",12,0.906898612627402
"GSE44076","RET_ALK_NTRK",6,0.960450716795894
"GSE44076","SRC_FAK",5,0.888406155121166
"GSE44076","TAM_AXL_AXIS",3,0.950969407677167
"GSE44076","TGFB_SMAD",5,0.932075321342906
"GSE44076","TIE_ANGPT_AXIS",3,0.950430715042753
"GSE44076","VEGF_PDGF_AXIS",9,0.95056299755357
"GSE44076","WNT_CTNNB1",4,0.948435321024154
"GSE23878","EPH_RECEPTORS",4,0.949503214494448
"GSE23878","ERBB_LIGANDS",6,0.95458796025716
"GSE23878","ERBB_RECEPTORS",4,0.927644652250146
"GSE23878","FGFR_AXIS",8,0.89281122150789
"GSE23878","HGF_MET_AXIS",3,0.921215663354763
"GSE23878","IGF_INSR_AXIS",3,0.951724137931035
"GSE23878","JAK_STAT",9,0.937112799532437
"GSE23878","PDGFR_KIT_CSF1R",5,0.940093512565751
"GSE23878","PI3K_AKT",9,0.915663354763297
"GSE23878","RAS_MAPK",12,0.921624780829924
"GSE23878","RET_ALK_NTRK",6,0.946639392168323
"GSE23878","SRC_FAK",5,0.910344827586207
"GSE23878","TAM_AXL_AXIS",3,0.925423728813559
"GSE23878","TGFB_SMAD",5,0.936762127410871
"GSE23878","TIE_ANGPT_AXIS",3,0.925306838106371
"GSE23878","VEGF_PDGF_AXIS",9,0.927235534774986
"GSE23878","WNT_CTNNB1",4,0.95499707773232
"GSE32863","EPH_RECEPTORS",4,0.961904376177072
"GSE32863","ERBB_LIGANDS",6,0.885259512768069
"GSE32863","ERBB_RECEPTORS",4,0.951941029950791
"GSE32863","FGFR_AXIS",7,0.961839573925194
"GSE32863","HGF_MET_AXIS",3,0.920941252708532
"GSE32863","IGF_INSR_AXIS",4,0.934152811810211
"GSE32863","JAK_STAT",9,0.960454425791296
"GSE32863","PDGFR_KIT_CSF1R",5,0.969680646402463
"GSE32863","PI3K_AKT",9,0.950158968024139
"GSE32863","RAS_MAPK",12,0.909665660881716
"GSE32863","RET_ALK_NTRK",6,0.926603349466394
"GSE32863","SRC_FAK",5,0.942374597517264
"GSE32863","TAM_AXL_AXIS",3,0.952613353314028
"GSE32863","TGFB_SMAD",5,0.947996192867702
"GSE32863","TIE_ANGPT_AXIS",3,0.966472934934489
"GSE32863","VEGF_PDGF_AXIS",9,0.966877949008728
"GSE32863","WNT_CTNNB1",4,0.955642858589336
"GSE4302","EPH_RECEPTORS",4,0.934668882862392
"GSE4302","ERBB_LIGANDS",6,0.940092730294812
"GSE4302","ERBB_RECEPTORS",4,0.933269180299186
"GSE4302","FGFR_AXIS",8,0.836409762925378
"GSE4302","HGF_MET_AXIS",3,0.881340215204269
"GSE4302","IGF_INSR_AXIS",3,0.939182923628729
"GSE4302","JAK_STAT",9,0.859294899833785
"GSE4302","PDGFR_KIT_CSF1R",5,0.901460939550346
"GSE4302","PI3K_AKT",9,0.873221940337678
"GSE4302","RAS_MAPK",12,0.904050389292275
"GSE4302","RET_ALK_NTRK",6,0.92368121774123
"GSE4302","SRC_FAK",5,0.874061761875601
"GSE4302","TAM_AXL_AXIS",3,0.930714723121337
"GSE4302","TGFB_SMAD",5,0.896317032630566
"GSE4302","TIE_ANGPT_AXIS",3,0.958673781821363
"GSE4302","VEGF_PDGF_AXIS",9,0.833750328055288
"GSE4302","WNT_CTNNB1",4,0.93172950747966
