"accession","disease","role","feature","n_case","n_control","paired","npair","r_emp","smd_unified","var_unified","d_adj","se_adj","p_adj","df_resid","joint_fallback","rank_full"
"GSE32863","LUAD","discovery","EPH_RECEPTORS",57,57,TRUE,57,1,NA,NA,2.61399343710686,0.82140792872881,0.00246592680567375,52,FALSE,TRUE
"GSE32863","LUAD","discovery","ERBB_LIGANDS",57,57,TRUE,57,1,NA,NA,-0.729078410954277,0.82140792872881,0.378845219901676,52,FALSE,TRUE
"GSE32863","LUAD","discovery","ERBB_RECEPTORS",57,57,TRUE,57,1,NA,NA,1.23407885973321,0.82140792872881,0.139044157535982,52,FALSE,TRUE
"GSE32863","LUAD","discovery","FGFR_AXIS",57,57,TRUE,57,1,NA,NA,-1.17734467855054,0.82140792872881,0.157750442847779,52,FALSE,TRUE
"GSE32863","LUAD","discovery","HGF_MET_AXIS",57,57,TRUE,57,1,NA,NA,0.764112164046127,0.82140792872881,0.356541920221985,52,FALSE,TRUE
"GSE32863","LUAD","discovery","IGF_INSR_AXIS",57,57,TRUE,57,1,NA,NA,1.20279488849532,0.82140792872881,0.149129340956551,52,FALSE,TRUE
"GSE32863","LUAD","discovery","JAK_STAT",57,57,TRUE,57,1,NA,NA,0.676735337386209,0.82140792872881,0.413774925899443,52,FALSE,TRUE
"GSE32863","LUAD","discovery","PDGFR_KIT_CSF1R",57,57,TRUE,57,1,NA,NA,0.206463915394014,0.82140792872881,0.802531338878382,52,FALSE,TRUE
"GSE32863","LUAD","discovery","PI3K_AKT",57,57,TRUE,57,1,NA,NA,2.55912246888839,0.82140792872881,0.00298655699594513,52,FALSE,TRUE
"GSE32863","LUAD","discovery","RAS_MAPK",57,57,TRUE,57,1,NA,NA,0.285256626427312,0.82140792872881,0.729784392122054,52,FALSE,TRUE
"GSE32863","LUAD","discovery","RET_ALK_NTRK",57,57,TRUE,57,1,NA,NA,-1.31244153587011,0.82140792872881,0.11614822048034,52,FALSE,TRUE
"GSE32863","LUAD","discovery","SRC_FAK",57,57,TRUE,57,1,NA,NA,1.26050803589469,0.82140792872881,0.130951937750049,52,FALSE,TRUE
"GSE32863","LUAD","discovery","TAM_AXL_AXIS",57,57,TRUE,57,1,NA,NA,0.568475735576837,0.82140792872881,0.491969236042334,52,FALSE,TRUE
"GSE32863","LUAD","discovery","TGFB_SMAD",57,57,TRUE,57,1,NA,NA,-1.100501987208,0.82140792872881,0.186144267338664,52,FALSE,TRUE
"GSE32863","LUAD","discovery","TIE_ANGPT_AXIS",57,57,TRUE,57,1,NA,NA,0.787850566095849,0.82140792872881,0.341923538271927,52,FALSE,TRUE
"GSE32863","LUAD","discovery","VEGF_PDGF_AXIS",57,57,TRUE,57,1,NA,NA,0.959957091643674,0.82140792872881,0.247865353525543,52,FALSE,TRUE
"GSE32863","LUAD","discovery","WNT_CTNNB1",57,57,TRUE,57,1,NA,NA,-0.26334709660072,0.82140792872881,0.749794989823196,52,FALSE,TRUE
"GSE19804","LUAD","validation","EPH_RECEPTORS",60,60,TRUE,60,1,NA,NA,-0.504230555469691,0.421789102512594,0.237037747665873,55,FALSE,TRUE
"GSE19804","LUAD","validation","ERBB_LIGANDS",60,60,TRUE,60,1,NA,NA,-1.03621075760607,0.421789102512594,0.0172057026357648,55,FALSE,TRUE
"GSE19804","LUAD","validation","ERBB_RECEPTORS",60,60,TRUE,60,1,NA,NA,-0.315193456505733,0.421789102512594,0.458079134187291,55,FALSE,TRUE
"GSE19804","LUAD","validation","FGFR_AXIS",60,60,TRUE,60,1,NA,NA,-0.553672873093228,0.421789102512594,0.194743087293779,55,FALSE,TRUE
"GSE19804","LUAD","validation","HGF_MET_AXIS",60,60,TRUE,60,1,NA,NA,0.829796350099332,0.421789102512594,0.0541975327288961,55,FALSE,TRUE
"GSE19804","LUAD","validation","IGF_INSR_AXIS",60,60,TRUE,60,1,NA,NA,0.866758605175117,0.421789102512594,0.044645131040431,55,FALSE,TRUE
"GSE19804","LUAD","validation","JAK_STAT",60,60,TRUE,60,1,NA,NA,-0.51238673132683,0.421789102512594,0.229634465943887,55,FALSE,TRUE
"GSE19804","LUAD","validation","PDGFR_KIT_CSF1R",60,60,TRUE,60,1,NA,NA,1.29058700569247,0.421789102512594,0.00342022426841926,55,FALSE,TRUE
"GSE19804","LUAD","validation","PI3K_AKT",60,60,TRUE,60,1,NA,NA,-0.320827491063356,0.421789102512594,0.450123911264405,55,FALSE,TRUE
"GSE19804","LUAD","validation","RAS_MAPK",60,60,TRUE,60,1,NA,NA,-0.410445452348331,0.421789102512594,0.334761144193947,55,FALSE,TRUE
"GSE19804","LUAD","validation","RET_ALK_NTRK",60,60,TRUE,60,1,NA,NA,-0.305070278061413,0.421789102512594,0.472574707502772,55,FALSE,TRUE
"GSE19804","LUAD","validation","SRC_FAK",60,60,TRUE,60,1,NA,NA,0.36970876092656,0.421789102512594,0.384557033942903,55,FALSE,TRUE
"GSE19804","LUAD","validation","TAM_AXL_AXIS",60,60,TRUE,60,1,NA,NA,0.31063961452634,0.421789102512594,0.464567945303016,55,FALSE,TRUE
"GSE19804","LUAD","validation","TGFB_SMAD",60,60,TRUE,60,1,NA,NA,-0.451641511817811,0.421789102512594,0.288946809544297,55,FALSE,TRUE
"GSE19804","LUAD","validation","TIE_ANGPT_AXIS",60,60,TRUE,60,1,NA,NA,0.841211649908799,0.421789102512594,0.0510757011840175,55,FALSE,TRUE
"GSE19804","LUAD","validation","VEGF_PDGF_AXIS",60,60,TRUE,60,1,NA,NA,0.0951271006272503,0.421789102512594,0.822401088770577,55,FALSE,TRUE
"GSE19804","LUAD","validation","WNT_CTNNB1",60,60,TRUE,60,1,NA,NA,-0.234638320790443,0.421789102512594,0.580266933515111,55,FALSE,TRUE
"GSE10072","LUAD","validation","EPH_RECEPTORS",33,33,TRUE,33,1,NA,NA,-0.974517160326553,0.924657748939289,0.300928716352662,28,FALSE,TRUE
"GSE10072","LUAD","validation","ERBB_LIGANDS",33,33,TRUE,33,1,NA,NA,-0.337093179422321,0.924657748939289,0.718178872580039,28,FALSE,TRUE
"GSE10072","LUAD","validation","ERBB_RECEPTORS",33,33,TRUE,33,1,NA,NA,-1.00951058529017,0.924657748939289,0.284241194304082,28,FALSE,TRUE
"GSE10072","LUAD","validation","FGFR_AXIS",33,33,TRUE,33,1,NA,NA,-2.33659571393268,0.924657748939289,0.0174340162573021,28,FALSE,TRUE
"GSE10072","LUAD","validation","HGF_MET_AXIS",33,33,TRUE,33,1,NA,NA,0.597490290902672,0.924657748939289,0.523427662259416,28,FALSE,TRUE
"GSE10072","LUAD","validation","IGF_INSR_AXIS",33,33,TRUE,33,1,NA,NA,0.234577837384159,0.924657748939289,0.801587497786063,28,FALSE,TRUE
"GSE10072","LUAD","validation","JAK_STAT",33,33,TRUE,33,1,NA,NA,-0.2567300521762,0.924657748939289,0.783321823128296,28,FALSE,TRUE
"GSE10072","LUAD","validation","PDGFR_KIT_CSF1R",33,33,TRUE,33,1,NA,NA,3.31465456260882,0.924657748939289,0.00126378534956284,28,FALSE,TRUE
"GSE10072","LUAD","validation","PI3K_AKT",33,33,TRUE,33,1,NA,NA,-0.080127238615508,0.924657748939289,0.931561607070153,28,FALSE,TRUE
"GSE10072","LUAD","validation","RAS_MAPK",33,33,TRUE,33,1,NA,NA,0.276659235171925,0.924657748939289,0.766995734511605,28,FALSE,TRUE
"GSE10072","LUAD","validation","RET_ALK_NTRK",33,33,TRUE,33,1,NA,NA,-1.80088529970188,0.924657748939289,0.0615507077234197,28,FALSE,TRUE
"GSE10072","LUAD","validation","SRC_FAK",33,33,TRUE,33,1,NA,NA,0.244032762194395,0.924657748939289,0.793776749932308,28,FALSE,TRUE
"GSE10072","LUAD","validation","TAM_AXL_AXIS",33,33,TRUE,33,1,NA,NA,-0.801066606454407,0.924657748939289,0.393667866037061,28,FALSE,TRUE
"GSE10072","LUAD","validation","TGFB_SMAD",33,33,TRUE,33,1,NA,NA,-1.18873494726336,0.924657748939289,0.209116057806597,28,FALSE,TRUE
"GSE10072","LUAD","validation","TIE_ANGPT_AXIS",33,33,TRUE,33,1,NA,NA,1.93907911374488,0.924657748939289,0.045141151420048,28,FALSE,TRUE
"GSE10072","LUAD","validation","VEGF_PDGF_AXIS",33,33,TRUE,33,1,NA,NA,1.15206578172036,0.924657748939289,0.22311204449544,28,FALSE,TRUE
"GSE10072","LUAD","validation","WNT_CTNNB1",33,33,TRUE,33,1,NA,NA,-0.464904864250406,0.924657748939289,0.619046784064958,28,FALSE,TRUE
"GSE44076","CRC","discovery","EPH_RECEPTORS",98,98,TRUE,98,1,NA,NA,2.72508217930102,0.19968354668235,6.29034074436186e-24,93,FALSE,TRUE
"GSE44076","CRC","discovery","ERBB_LIGANDS",98,98,TRUE,98,1,NA,NA,-0.742074026240971,0.19968354668235,0.000345094579750768,93,FALSE,TRUE
"GSE44076","CRC","discovery","ERBB_RECEPTORS",98,98,TRUE,98,1,NA,NA,-1.27106390661234,0.19968354668235,7.28391799158524e-09,93,FALSE,TRUE
"GSE44076","CRC","discovery","FGFR_AXIS",98,98,TRUE,98,1,NA,NA,-2.06652642716773,0.19968354668235,3.75529840589356e-17,93,FALSE,TRUE
"GSE44076","CRC","discovery","HGF_MET_AXIS",98,98,TRUE,98,1,NA,NA,1.00618261900117,0.19968354668235,2.29456214777026e-06,93,FALSE,TRUE
"GSE44076","CRC","discovery","IGF_INSR_AXIS",98,98,TRUE,98,1,NA,NA,-0.8970448948786,0.19968354668235,2.0226155650213e-05,93,FALSE,TRUE
"GSE44076","CRC","discovery","JAK_STAT",98,98,TRUE,98,1,NA,NA,0.647008066060816,0.19968354668235,0.00165785630164788,93,FALSE,TRUE
"GSE44076","CRC","discovery","PDGFR_KIT_CSF1R",98,98,TRUE,98,1,NA,NA,-0.390475791864887,0.19968354668235,0.0535289793419688,93,FALSE,TRUE
"GSE44076","CRC","discovery","PI3K_AKT",98,98,TRUE,98,1,NA,NA,-0.274837973153865,0.19968354668235,0.172012795826932,93,FALSE,TRUE
"GSE44076","CRC","discovery","RAS_MAPK",98,98,TRUE,98,1,NA,NA,-0.978785372128898,0.19968354668235,4.0120365790294e-06,93,FALSE,TRUE
"GSE44076","CRC","discovery","RET_ALK_NTRK",98,98,TRUE,98,1,NA,NA,-1.46791717357422,0.19968354668235,7.49887016628478e-11,93,FALSE,TRUE
"GSE44076","CRC","discovery","SRC_FAK",98,98,TRUE,98,1,NA,NA,-0.312379147765589,0.19968354668235,0.121127013053014,93,FALSE,TRUE
"GSE44076","CRC","discovery","TAM_AXL_AXIS",98,98,TRUE,98,1,NA,NA,0.668491809174635,0.19968354668235,0.00117723030566206,93,FALSE,TRUE
"GSE44076","CRC","discovery","TGFB_SMAD",98,98,TRUE,98,1,NA,NA,0.177476247714856,0.19968354668235,0.376410392646003,93,FALSE,TRUE
"GSE44076","CRC","discovery","TIE_ANGPT_AXIS",98,98,TRUE,98,1,NA,NA,0.404379202808786,0.19968354668235,0.045723763192324,93,FALSE,TRUE
"GSE44076","CRC","discovery","VEGF_PDGF_AXIS",98,98,TRUE,98,1,NA,NA,1.66681686911822,0.19968354668235,6.34598931599415e-13,93,FALSE,TRUE
"GSE44076","CRC","discovery","WNT_CTNNB1",98,98,TRUE,98,1,NA,NA,3.87764054301822,0.19968354668235,1.74225805967718e-34,93,FALSE,TRUE
